[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_g_cash: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_maya: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_details: 2000.00 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.141519 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_gcash_ref: , referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142022 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST deposit_maya_ref: , referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit_cash: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit_g_cash: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit_maya: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit_details: 2000.00 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142078 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END DEPOSIT DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === INITIAL DEPOSIT VALUES FROM POST ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit from POST: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_cash from POST: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_g_cash from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_maya from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_details from POST: 2000.00 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Parsed deposit_details: 2000.00 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END INITIAL VALUES ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === DEPOSIT ADJUSTMENT DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.142581 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Original deposit: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.143580 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Original deposit_details: 2000.00 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.143580 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] check_in_change_amount: 109.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.143580 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Adjusted deposit: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.143580 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Adjusted deposit_details: 21,890.05 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.143580 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === CONFIRM BOOKING DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.144083 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] check_in_change_amount from POST: 109.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.144083 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] check_in_change_amount parsed: 109.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.361767 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === PROMO PRICE USED ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.361767 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Promo: Package 1 12hrs - \xe2\x82\xb12089.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.361767 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Promo price: 2089, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.361767 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END PROMO PRICE ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === DISCOUNT CALCULATION IN BACKEND ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Room type: Premium 2 (Example Only), referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Room price: 2089, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] SC/PWD count: 1, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Discount type: regular, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Calculated discount amount: 198.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END DISCOUNT CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362271 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === PAID STATUS CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Full booking amount (before discount): 4179, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Discount amount: 198.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Full booking amount (after discount): 3980.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Total payments: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Setting paid_status to: Unpaid, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END PAID STATUS CALCULATION ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === DEPOSIT VALUES DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] status: Confirmed, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] isReservation: FALSE, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit from POST: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_cash from POST: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_g_cash from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_maya from POST: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_details from POST: 21,890.05 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_gcash_ref from POST: NULL, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_maya_ref from POST: NULL, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === VALUES FOR DATABASE ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_for_db: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_cash_for_db: 2000, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_g_cash_for_db: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.362794 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_maya_for_db: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.364331 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] deposit_details_for_db: 21,890.05 Cash, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.364331 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === END DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
